_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry
147,13458353.0,Avenue Rd,Chaplin Cres,147,147,147,AVENUE RD,CHAPLIN CRES,6166,116,Avenue Rd And Chaplin Cres,None,AVENUE RD,CHAPLIN CRES,None,None,None,Toronto and East York,Toronto-St. Paul's(12),None,None,None,53,None,None,2022-05-19T04:00:00,"{'type': 'Point', 'coordinates': (-79.4061560052234, 43.6987780017931)}"
148,13443575.0,Brimley Rd,Huntingwood Dr,148,148,148,BRIMLEY RD,HUNTINGWOOD DR,6167,1170,Brimley Rd And Huntingwood Dr,None,BRIMLEY RD,HUNTINGWOOD DR,None,None,None,Scarborough,Scarborough North(23),None,None,None,42,None,None,2021-04-07T04:00:00,"{'type': 'Point', 'coordinates': (-79.2733659976785, 43.7984070025272)}"
149,13446436.0,Brimley Rd,Progress Ave,149,149,149,BRIMLEY RD,PROGRESS AVE,6168,1072,Brimley Rd And Progress Ave,None,BRIMLEY RD,PROGRESS AVE,None,None,None,Scarborough,Scarborough Centre(21),None,None,None,41,43,None,2021-05-27T04:00:00,"{'type': 'Point', 'coordinates': (-79.2631830057711, 43.7752810004707)}"
150,13454867.0,Kingston Rd,Brimley Rd,150,150,150,KINGSTON RD,BRIMLEY RD,6169,164,Kingston Rd And Brimley Rd / Brimley Rd S,None,KINGSTON RD,BRIMLEY RD,BRIMLEY RD S,None,None,Scarborough,Scarborough Southwest(20),None,None,None,41,43,None,2021-05-25T04:00:00,"{'type': 'Point', 'coordinates': (-79.2403629937362, 43.7182259993558)}"
151,13448254.0,Lawrence Ave E,Scarborough Golf Club Rd,151,151,151,LAWRENCE AVE E,SCARBOROUGH GOLF CLUB RD,6170,397,Lawrence Ave E And Scarborough Golf Club Rd,None,LAWRENCE AVE E,SCARBOROUGH GOLF CLUB RD,None,None,None,Scarborough,Scarborough Guildwood(24),None,None,None,43,None,None,2021-05-14T04:00:00,"{'type': 'Point', 'coordinates': (-79.2158379985684, 43.7618520036741)}"
152,13441620.0,Steeles Ave E,Markham Rd,152,152,152,STEELES AVE E,MARKHAM RD,6171,1583,Steeles Ave E And Markham Rd,None,STEELES AVE E,MARKHAM RD,None,None,None,Scarborough,Scarborough North(23),None,None,None,42,None,None,2021-06-30T04:00:00,"{'type': 'Point', 'coordinates': (-79.2511890036955, 43.8365980058072)}"
153,13444609.0,Steeles Ave W,Bathurst St,153,153,153,STEELES AVE W,BATHURST ST,6172,678,Steeles Ave W And Bathurst St,None,STEELES AVE W,BATHURST ST,None,None,None,North York,York Centre(6),Willowdale(18),None,None,32,None,None,2021-12-29T05:00:00,"{'type': 'Point', 'coordinates': (-79.4457550064858, 43.7924070075576)}"
154,13468144.0,Strachan Ave,Wellington St W,154,154,154,STRACHAN AVE,WELLINGTON ST W,6173,2403,Strachan Ave And Wellington St W / Douro St,None,STRACHAN AVE,WELLINGTON ST W,DOURO ST,None,None,Toronto and East York,Spadina-Fort York(10),None,None,None,14,None,None,2021-06-21T04:00:00,"{'type': 'Point', 'coordinates': (-79.4114689982727, 43.6407580008455)}"
155,13465166.0,University Ave,College St,155,155,155,UNIVERSITY AVE,COLLEGE ST,6174,83,University Ave And College St,None,UNIVERSITY AVE,COLLEGE ST,None,None,None,Toronto and East York,University-Rosedale(11),None,None,None,52,None,None,2021-10-21T04:00:00,"{'type': 'Point', 'coordinates': (-79.39049400967131, 43.6598580027362)}"
156,13465980.0,University Ave,Dundas St W,156,156,156,UNIVERSITY AVE,DUNDAS ST W,6175,81,University Ave And Dundas St W,None,UNIVERSITY AVE,DUNDAS ST W,None,None,None,Toronto and East York,University-Rosedale(11),Spadina-Fort York(10),None,None,52,None,None,2021-06-21T04:00:00,"{'type': 'Point', 'coordinates': (-79.3883140021352, 43.6547900061355)}"
157,13448519.0,Warden Ave,Ellesmere Rd,157,157,157,WARDEN AVE,ELLESMERE RD,6176,694,Warden Ave And Ellesmere Rd,None,WARDEN AVE,ELLESMERE RD,None,None,None,Scarborough,Scarborough Centre(21),None,None,None,41,None,None,2021-06-11T04:00:00,"{'type': 'Point', 'coordinates': (-79.3007509906093, 43.7611930035096)}"
158,13443314.0,Warden Ave,Bridletowne Crcl,158,158,158,WARDEN AVE,BRIDLETOWNE CRCL,6177,1217,Warden Ave And Bridletowne Crcl,SOUTH INTERSECTION,WARDEN AVE,BRIDLETOWNE CRCL,None,None,None,Scarborough,Scarborough-Agincourt(22),None,None,None,42,None,None,2021-12-16T05:00:00,"{'type': 'Point', 'coordinates': (-79.31388200719341, 43.7921790026872)}"
159,13445655.0,Willowdale Ave,Bishop Ave,159,159,159,WILLOWDALE AVE,BISHOP AVE,6178,1640,Willowdale Ave And Bishop Ave,None,WILLOWDALE AVE,BISHOP AVE,None,None,None,North York,Willowdale(18),None,None,None,32,None,None,2021-04-07T04:00:00,"{'type': 'Point', 'coordinates': (-79.4078709998587, 43.7834400045557)}"
160,13442003.0,Steeles Ave E,Warden Ave,160,160,160,STEELES AVE E,WARDEN AVE,6179,1191,Steeles Ave E And Warden Ave,None,STEELES AVE E,WARDEN AVE,None,None,None,Scarborough,Scarborough-Agincourt(22),None,None,None,42,None,None,2022-09-16T04:00:00,"{'type': 'Point', 'coordinates': (-79.3244359888069, 43.8196309971474)}"
